Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-02-20 10:51:06.957 +0530,"Success",0:00:01,0,0,0,"20250220_105106.957/LogFile.txt","","",1
2025-02-20 10:52:42.110 +0530,"Success",0:00:02,0,0,0,"20250220_105242.110/LogFile.txt","","",1
2025-02-20 10:53:35.663 +0530,"Success",0:00:21,0,0,0,"20250220_105335.663/LogFile.txt","","",1
2025-02-20 10:54:45.573 +0530,"Success",0:00:28,0,0,0,"20250220_105445.573/LogFile.txt","","",1
2025-02-20 11:24:13.792 +0530,"Aborted",0:00:20,1,0,0,"20250220_112413.792/LogFile.txt","","",0
