Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-03-21 16:53:13.002 +0530,"Failure",0:00:00,1,0,0,"20250321_165313.002/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'openapplication'",0
2025-03-21 16:53:33.045 +0530,"Success",0:00:00,0,0,0,"20250321_165333.045/LogFile.txt","","",1
2025-03-21 16:54:09.883 +0530,"Success",0:00:01,0,0,0,"20250321_165409.883/LogFile.txt","","",1
2025-03-21 17:22:30.705 +0530,"Success",0:00:09,0,0,0,"20250321_172230.705/LogFile.txt","","",1
2025-03-21 17:34:18.763 +0530,"Failure",0:00:15,1,0,1,"20250321_173418.763/LogFile.txt","","WebElement Not Found -- click Error - \nUnable to find the WebElement '<WebElement identified by {webXPath:""//*[@id=logInModal]/div/div/div[3]/button[2]""} – not resolved yet>' on the page.",0
2025-03-21 17:34:56.181 +0530,"Failure",0:00:13,1,0,1,"20250321_173456.181/LogFile.txt","","WebElement Not Found -- click Error - \nUnable to find the WebElement '<WebElement identified by {webXPath:""//*[@id=logInModal]/div/div/div[3]/button[2]""} – not resolved yet>' on the page.",0
2025-03-21 17:36:12.566 +0530,"Failure",0:00:14,1,0,1,"20250321_173612.566/LogFile.txt","","WebElement Not Found -- click Error - \nUnable to find the WebElement '<WebElement identified by {webXPath:""//*[@id=logInModal]/div/div/div[3]/button[2]""} – not resolved yet>' on the page.",0
