Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-03-17 10:07:18.133 +0530,"Success",0:00:00,0,0,0,"20250317_100718.133/LogFile.txt","","",1
2025-03-17 10:09:50.589 +0530,"Success",0:00:01,0,0,0,"20250317_100950.589/LogFile.txt","","",1
