Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
CellFunction,Success,3,1,2025-02-20 10:27:38 +0530,2025-02-20 10:31:23 +0530,0:00:02
WorksheetFunction,Success,2,0,2025-02-20 10:18:24 +0530,2025-02-20 10:18:44 +0530,0:00:01
Usecases/Using Exceldata as input,Success,4,2,2025-02-20 11:27:18 +0530,2025-02-20 12:11:43 +0530,0:01:23
cellrangeFunction,Success,4,0,2025-02-20 10:51:06 +0530,2025-02-20 10:54:45 +0530,0:00:13
