Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
ReadingRandomText,Success,17,3,2025-02-25 16:06:29 +0530,2025-02-25 18:23:45 +0530,0:00:07
Testcases/TC_01,Failure,5,4,2025-02-25 15:15:40 +0530,2025-03-04 13:57:08 +0530,0:00:14
