Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Practice,Success,1,0,2025-02-21 12:12:31 +0530,2025-02-21 12:12:31 +0530,0:00:00
Requirement,Success,12,3,2025-02-21 12:37:14 +0530,2025-02-24 14:06:56 +0530,0:00:00
