Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
WorkingWithPatterns,Success,26,7,2025-03-06 12:13:55 +0530,2025-03-11 15:43:14 +0530,0:00:06
Keywords,Success,11,2,2025-03-11 17:04:45 +0530,2025-03-11 17:26:24 +0530,0:00:00
