Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-03-20 10:46:12.864 +0530,"Success",0:00:04,0,0,0,"20250320_104612.864/LogFile.txt","","",1
2025-03-20 10:52:03.938 +0530,"Success",0:02:00,0,0,0,"20250320_105203.938/LogFile.txt","","",1
2025-03-20 10:58:29.968 +0530,"Aborted",0:01:59,1,0,0,"20250320_105829.968/LogFile.txt","","",0
2025-03-20 11:29:27.028 +0530,"Failure",0:00:00,1,0,0,"20250320_112927.028/LogFile.txt","","InvalidWebOptions -- The browser must be specified",0
2025-03-20 11:29:44.953 +0530,"Success",0:02:00,0,0,0,"20250320_112944.953/LogFile.txt","","",1
2025-03-20 11:32:18.148 +0530,"Success",0:04:00,0,0,0,"20250320_113218.148/LogFile.txt","","",1
